% Model:              ellipsoidsi3n4.mph
% Version:            COMSOL 4.4.0.150
% Date:               Jun 7 2015, 12:29
% Dimension:          3
% Nodes:              1253
% Expressions:        1
% Description:        Temperature
% Length unit:        m
% x                       y                        z                        T (K)
-1.7473457225001582E-6    -7.203352211024027E-7    0                        300
-1.6506564136445898E-6    -8.972418523688562E-7    2.882452192236723E-7     300
-1.5723541723270246E-6    -1.0487146196864296E-6   0                        300
-1.4285192596316524E-6    -7.470226896793629E-7    0                        302.98542448705797
-7.20304391049641E-7      -1.7473584584239007E-6   0                        300
-8.860636039776467E-7     -1.6584795343493312E-6   2.672384155526984E-7     300
-5.596073615693926E-7     -1.7963171776070122E-6   2.511593691069215E-7     300
-6.535604280479255E-7     -1.5396868060228824E-6   2.5537809214681343E-7    302.12027612892575
-7.109938368469778E-7     -1.712269914889221E-6    5.13858175920664E-7      300
-1.3364192697063867E-6    -1.336444363060968E-6    0                        300
-1.4531104995599203E-6    -1.1897912728181533E-6   2.968746238080522E-7     300
-1.1842188517063182E-6    -1.457918942821945E-6    2.9432670988486524E-7    300
-1.1638822637062213E-6    -1.1294387989577792E-6   3.3107654528186465E-7    302.60117302462623
-1.5293635685689759E-6    -1.0316403659266714E-6   5.753050076509991E-7     300
-1.6671531899256948E-6    -7.943131351243644E-7    5.630835586228651E-7     300
-1.325039172615958E-6     -8.977124126951429E-7    3.049227733774663E-7     302.8896567093768
-1.203237054034625E-6     -9.437549243443415E-7    0                        304.0403913238673
-1.0164492401787075E-6    -1.2561273538894963E-6   0                        302.9337291346265
-1.0486850963864517E-6    -1.5723738631112283E-6   0                        300
-1.1701373259015639E-6    -5.653049935929876E-7    0                        307.5836741791782
-1.1441256633574058E-6    -7.362385226146352E-7    1.7348992640059515E-7    306.39827148545095
-9.006796690757211E-7     -1.3251690585210174E-6   2.3366736001905478E-7    302.962414479606
-1.0152136216326023E-6    -1.5403542251807286E-6   5.751089638513774E-7     300
-7.684697124999705E-7     -1.4047460682740674E-6   4.3707312923966056E-7    302.64071018860096
-9.325917456971715E-7     -6.896811333803031E-7    0                        310.32157080006976
-7.437022798244712E-7     -1.3703708076975112E-6   0                        303.6412281565791
-7.641606042055862E-7     -9.825565649720833E-7    0                        308.5740100585613
-4.940348599858407E-7     -1.5413975306727183E-6   0                        302.8902441847111
-3.640825535338048E-7     -1.854600736525906E-6    0                        300
-1.4028715378683874E-6    -6.301733684599485E-7    3.1113473499226953E-7    303.64239644242565
-1.7940576353806323E-6    -5.469883223842506E-7    3.261157971811984E-7     300
-1.3036408451860793E-6    -1.3003092893827301E-6   5.969589143875057E-7     300
-1.2928426818713537E-6    -8.693980154807445E-7    6.043520096009549E-7     302.71662378015293
-1.5960300989340473E-6    -8.269464351150568E-7    8.174699583619354E-7     300
-1.3819122393660892E-6    -1.1221844788656281E-6   8.888848597221305E-7     300
-4.876739827833473E-7     -1.528165182655551E-6    4.851965130948679E-7     302.50564237919934
-9.923947509633702E-7     -1.2110006932672323E-6   5.719914017087874E-7     302.71973836288004
-8.321987291735416E-7     -1.5892048569615963E-6   8.329390539723576E-7     300
-6.725394042178412E-7     -1.406007476689509E-6    6.403274726106226E-7     302.6033814011062
-1.1222960477473422E-6    -1.3825871071627792E-6   8.865487949025647E-7     300
-9.076091971930338E-7     -1.4438420209712647E-6   1.1405195731553792E-6    300
-8.358871867179744E-7     -1.2853810762993728E-6   8.713250871780492E-7     302.1235725870156
-1.8545977623710226E-6    -3.6409766485667E-7      0                        300
-1.8690187291446195E-6    -2.2460545364546496E-7   2.3602098505581703E-7    300
-1.5877545878445342E-6    -2.9709514107340603E-7   2.755376832543184E-7     302.7576112136066
-1.8328064555983386E-6    -2.5675191926781593E-7   5.367661861629526E-7     300
-1.493912604187557E-6     -3.8674773781419633E-7   0                        303.85616451771233
-1.8900000000000001E-6    0                        0                        300
-1.643415160941288E-6     -1.3310488120219576E-7   0                        302.54015677881813
-1.223180025236359E-6     -4.382060923007098E-7    3.112913297525054E-7     307.08700116006827
-1.7343958635845847E-6    -5.661487816463789E-7    6.90764235484994E-7      300
-1.4791627204798889E-6    -5.460750355033416E-7    7.031919882877646E-7     302.2389454335699
-1.5080954284121456E-6    -4.044113416659807E-7    4.968872436021021E-7     302.9634976518619
-8.751975566063332E-7     -4.5487614686376E-7      0                        314.72139539490684
-1.031149737453935E-6     -5.146289608841595E-7    2.2989674958839355E-7    310.0883206100926
-1.8726046996415202E-6    0                        3.581692559364781E-7     300
-1.621223087922384E-6     6.5514044677139E-8       2.9654129902734326E-7    302.64558486128857
-1.8690473945921971E-6    2.2445227282866087E-7    2.3586162769880324E-7    300
-1.8329750597733954E-6    2.569117985851444E-7     5.354862889683282E-7     300
-1.1354263763025127E-6    -2.635579869645511E-7    0                        310.2053158439617
-1.5685409014436838E-6    1.6487224756568028E-7    0                        303.4196877370734
-1.8546008206318597E-6    3.640821251060374E-7     0                        300
-1.3311928812082788E-6    -5.109007543501169E-8    0                        307.0189557583281
-1.6407256077153372E-6    3.3363799176483807E-7    3.191219991752046E-7     302.0305283800873
-1.794102808934405E-6     5.467592485322481E-7     3.2638151423071703E-7    300
-1.573312928882074E-6     4.893877656903743E-7     0                        302.5557495782792
-1.7473587939741623E-6    7.203035770506203E-7     0                        300
-5.691039028608007E-7     -1.7107064059971537E-6   7.940658076309893E-7     300
-3.6224587502532435E-7    -1.5761520249150127E-6   2.5816233170448425E-7    302.7518486075068
-3.233381482086415E-7     -1.8220598628487545E-6   5.37954072661248E-7      300
-2.513306614602676E-7     -1.8662231164533833E-6   2.26368260409747E-7      300
0                         -1.8900000000000001E-6   0                        300
-1.6498085798789328E-7    -1.5597052683987985E-6   0                        303.5157649984109
1.3214961960392255E-7     -1.6331681254882003E-6   0                        302.6614617549572
3.640972364767143E-7      -1.8545978464714103E-6   0                        300
2.2467299092327844E-7     -1.8690102923039665E-6   2.3602594316389543E-7    300
0                         -1.8726046996415202E-6   3.581692559364781E-7     300
-1.9981840593749052E-7    -1.5933476524423535E-6   6.368973127362805E-7     302.123199688608
-3.1288357794359225E-7    -1.7497309285038164E-6   8.993248952415138E-7     300
0                         -1.8201118649604703E-6   7.128912668786695E-7     300
-5.659564404419512E-7     -1.2956457267233375E-6   3.4389817544281305E-7    305.22391605200215
-9.6627141324925E-7       -9.474659616533182E-7    2.4096897862324654E-7    306.38673343475944
-8.756105168321475E-7     -6.846432016009665E-7    2.196096026029195E-7     311.0221562059515
-7.158742030835939E-7     -1.0725318355172581E-6   2.7584547555733447E-7    307.3497889795735
-6.083987225916905E-7     -1.4992149535090148E-6   1.3676398701217267E-6    300
-5.797244787078051E-7     -1.6309783765324621E-6   1.062459865396418E-6     300
-5.067823722578712E-7     -1.388158771596352E-6    1.1681845846971688E-6    301.5299628323983
-6.078106313087681E-7     -1.3990405314382466E-6   9.1508934173324E-7       302.0463031624224
-6.772770805544141E-7     -8.062759208229319E-7    2.193123387300764E-7     312.3925653578611
-4.803771193773729E-7     -8.213617692066677E-7    0                        315.74354652319386
-6.727942232963105E-7     -6.248039742514637E-7    0                        316.7874497949725
-3.7353217750328865E-7    -1.1665996963677738E-6   0                        308.9432343977514
-2.2519814284469182E-7    -1.365171038246414E-6    3.332630960102328E-7     305.67982845850224
-3.189973505450691E-7     -1.6420069332049857E-6   1.231804240306831E-6     300
-1.7581200265216984E-6    -3.005490220665633E-7    8.751783504230562E-7     300
-1.6367058494412466E-6    -5.992978665119149E-7    1.0231845473882936E-6    300
-1.1627789591368794E-6    -9.29449335438379E-7     8.368380021268125E-7     302.6732240326252
-1.2816480456994498E-6    -6.730937815896176E-7    9.270281276020522E-7     302.7153829213478
-1.456072796236036E-6     -8.93089131765821E-7     1.1324812921081558E-6    300
