%x,Curve1
0.677765,0.353357
0.709869,0.706714
0.745541,0.971731
0.834721,2.12014
0.866825,2.56184
0.945303,4.15194
0.973841,4.68198
1.00238,5.21201
1.02735,5.74205
1.05589,6.27208
1.08442,6.89046
1.11296,7.42049
1.13793,7.95053
1.16647,8.48057
1.19501,9.09894
1.21998,9.62898
1.24851,10.159
1.27705,10.689
1.30202,11.2191
1.33056,11.7491
1.3591,12.2792
1.38763,12.8092
1.41974,13.2509
1.44828,13.7809
1.47681,14.2226
1.50892,14.6643
1.54102,15.106
1.57313,15.4594
1.60523,15.9011
1.63734,16.2544
1.66944,16.6078
1.70155,16.8728
1.73722,17.1378
1.77289,17.3145
1.80499,17.5795
1.84067,17.6678
1.87277,17.8445
1.90844,17.8445
1.92628,17.7562
1.96195,17.8445
1.99762,17.8445
2.03329,17.9329
2.0654,17.8445
2.10107,17.8445
2.12961,17.5795
2.16528,17.4912
2.19738,17.3145
2.23306,17.1378
2.26516,16.9611
2.30083,16.7845
2.33294,16.4311
2.36861,16.2544
2.40071,16.1661
2.43282,15.8127
2.46492,15.636
2.50059,15.371
2.53627,15.106
2.56837,14.841
2.60048,14.576
2.63615,14.311
2.66825,13.9576
2.70392,13.6926
2.73603,13.4276
2.7717,13.1625
2.8038,12.8975
2.83948,12.6325
2.87158,12.3675
2.90369,12.1025
2.93936,11.8375
2.97146,11.5724
