%x,Curve1
0.798325,1.26336
0.845422,1.32286
0.966794,1.57848
1.00718,1.63804
1.0476,1.70614
1.21615,2.05547
1.26321,2.09787
1.40483,2.40465
1.44524,2.47276
1.47917,2.62643
1.52616,2.64317
1.6003,2.78798
1.65402,2.81323
1.84234,3.02559
1.89595,3.00808
2.01031,3.14403
2.06409,3.19493
2.31893,3.19299
2.37924,3.17543
2.70747,3.02756
2.75437,3.0101
2.83465,2.93253
2.88834,2.94922
3.37665,2.45807
3.43024,2.43201
3.52388,2.33723
3.57069,2.28557
3.85166,2.00978
3.89847,1.95812
4.12569,1.64854
4.17255,1.61398
4.53359,1.18366
4.58724,1.18325
