%x,Curve1
0.743589,4.16582
0.810554,4.166
0.877518,4.16619
0.937786,4.16635
1.00476,4.17892
1.06503,4.17909
1.13199,4.17927
1.19226,4.17944
1.25922,4.17962
1.31948,4.1674
1.38645,4.16759
1.4534,4.15539
1.5003,4.18028
1.54713,4.1185
1.60072,4.14341
1.77469,3.94578
1.82821,3.87163
1.88173,3.79748
1.92855,3.72332
1.98207,3.63679
2.04226,3.52552
2.09578,3.45137
2.16266,3.32773
2.20946,3.2288
2.24958,3.14224
2.2964,3.05569
2.34991,2.96916
2.39673,2.895
2.44355,2.80845
2.49707,2.7343
2.55059,2.66016
2.65095,2.53661
2.70448,2.47485
2.76471,2.4131
2.82494,2.36374
2.88517,2.30199
2.94541,2.26501
3.00563,2.20326
3.06588,2.16628
3.12612,2.1293
3.19306,2.09234
3.25329,2.04298
3.32024,2.0184
3.38048,1.98142
3.44072,1.94443
3.50767,1.91985
3.56791,1.88287
3.63486,1.85829
3.69511,1.83369
3.76206,1.80911
3.82231,1.78451
3.88926,1.75993
3.94951,1.73534
4.01646,1.71076
4.0767,1.67377
4.14365,1.64919
4.21059,1.62461
4.27085,1.6124
4.3378,1.58782
4.39805,1.56322
4.43822,1.55095
4.49848,1.53873
