%x,Curve1
0.0303903,15.5805
0.112332,15.6902
0.169333,15.8009
0.233454,16.0242
0.304707,16.1344
0.368827,16.3577
0.425822,16.5812
0.49705,17.1428
0.514853,17.3678
0.55047,17.5921
0.582518,17.9295
0.61456,18.3797
0.650165,18.8297
0.682206,19.2799
0.714254,19.6172
0.749859,20.0673
0.781907,20.4046
0.813955,20.742
0.849566,21.0792
0.88162,21.3036
0.917238,21.528
0.949292,21.7525
0.984915,21.864
1.02054,21.9755
1.05616,22.087
1.09179,22.0857
1.12742,22.0843
1.16308,21.6316
1.19871,21.5174
1.23079,21.2905
1.26643,21.0635
1.29851,20.8366
1.33415,20.6095
1.36624,20.1569
1.40189,19.8171
1.43398,19.3645
1.46607,18.9119
1.49817,18.4593
1.53026,17.8938
1.56235,17.4412
1.59089,16.8759
1.62299,16.3105
1.65508,15.745
1.68718,15.1796
1.71571,14.7271
1.74781,14.0488
1.77991,13.4834
1.80845,12.9181
1.84054,12.3526
1.86908,11.7873
1.90118,11.2219
1.93327,10.6564
1.96181,10.0911
1.99391,9.52569
2.026,8.96025
2.05809,8.50765
2.09019,7.94221
2.12228,7.48961
2.15082,6.9243
2.18291,6.47171
2.21501,5.90626
2.2471,5.45367
2.27919,5.00107
2.31484,4.54834
2.41822,3.52883
2.45031,3.18908
2.48596,2.8492
2.54301,2.05712
2.57509,1.71737
2.61073,1.60318
2.64637,1.37615
2.67846,1.0364
2.71409,0.922213
2.74618,0.582464
2.78181,0.468277
2.81389,0.241376
2.84953,0.127188
2.88517,-0.0998472
2.91725,-0.326748
2.95288,-0.440936
2.98852,-0.555124
